VARIABLES = \
"Inner_Iter",    "Time(sec)"   ,   "rms[Rho_0]"   
          10,   0.0001303738182,      -11.56069213
          10,   0.0002010057273,      -11.74544082
          10,   0.0001326646364,      -11.65112143
          10,   0.0001499518182,      -11.59925541
          10,   0.0001435566364,      -11.83544734
          10,   0.0001265422727,      -11.59617334
          10,   0.0001495138182,       -11.4865173
          10,   0.0001109856364,      -11.73345856
          10,   0.0001095422727,       -12.2986623
          10,   0.0001221405455,      -11.74364367
